product_name,product_type,price_clean,clean_ingreds,acne_ingredients_present,acne_ingredient_count,acne_types,acne_types_str
La Roche-Posay Nutritic Intense Rich 50ml,Moisturiser,18.0,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'glyceryl stearate', 'alcohol denat', 'ethylhexyl palmitate', 'dimethicon', 'butyrospermum parkii', 'myristyl myristate', 'niacinamide', 'peg-100 stearate', 'glycine soja extract', 'sodium polyacrylate', 'myristyl malate phosphonic acid', 'disodium edta', 'caprylyl glycol', 'citric acid', 'tocopherol', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'phenoxyethanol', 'parfum']",['niacinamide'],1,"['Inflammatory', 'Pigmentation']","Inflammatory, Pigmentation"
Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,Moisturiser,32.0,"['ethylhexyl methoxycinnamate', 'butylene glycol', 'titanium dioxide', 'cetyl alcohol', 'zinc oxide', 'neopentyl glycol diheptanoate', 'c12-15', 'dimethicon', 'laureth-4', 'octocrylene', 'ethylhexyl salicylate', 'polyethylene', 'peg-100 stearate', 'hydrogenated lecithin', 'citrus limon juice extract', 'citrus grandis', 'mentha viridis extract', 'citrus aurantium dulcis', 'limonene', 'linalool', 'citral', 'garcinia mangostana fruit extract', 'panax ginseng root extract', 'citrus aurantium amara flower water', 'castanea sativa seed extract', 'psidium guajava (guava) fruit extract', 'citrus aurantium amara flower water', 'luminaria', 'saccharina extract', 'triticum vulgare bran extract', 'adenosine phosphate', 'pantethine', 'creatine', 'hordeum vulgare extract', 'folic acid', 'tourmaline', 'cordyceps sinensis extract', 'ethylhexyl glycerin', 'acetyl carnitine', 'caffeinee', 'rhodochrosite', 'sodium hyaluronate', 'isopropyl myristate', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate', 'trehalose', 'cera alba', 'pvp/hexadecane copolymer', 'squalene', 'caprylyl glycol', 'tocopheryl acetate', 'faex extract', 'isostearic acid', 'polymethyl methacrylate', 'dimethicon', 'silylate', 'polyhydroxystearic acid', 'magnesium ascorbyl phosphate', 'nylon 12', 'xanthan gum', 'hexylene', 'glycol', 'polysorbate 60', 'silica', 'bht', 'phenoxyethanol', 'ci 77491', 'ci 77492', 'ci 77499', 'titanium dioxide']",['caffeine'],1,['Dark Circles'],Dark Circles
Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,Moisturiser,25.2,"['ethylhexyl salicylate', 'dimethicon', 'butyloctyl salicylate', 'butylene glycol', 'butyl methoxydibenzoylmethane', 'polyester-8', 'cetyl ricinoleate', 'steareth-21', 'steareth-2', 'di-c12-15 alkyl fumarate', 'capric triglyceride', 'polysilicone-11', 'psidium guajava (guava) fruit extract', 'gentiana lutea (gentian) root extract', 'polygonum cuspidatum root extract', 'stearyl alcohol', 'hordeum vulgare extract', 'laminaria ochroleuca extract', 'rosmarinus officinalis extract', 'triticum vulgare bran extract', 'artemia extract', 'fumaria officinalis flower/leaf/stem extract', 'caffeinee', 'pentylene glycol', 'citrus limon juice extract', 'hydrolyzed opuntia ficus indica flower extract', 'vitis vinifera extract', 'hydrolyzed opuntia ficus indica flower extract', 'lauryl peg-9', 'thermus thermophillus ferment', 'behenyl alcohol', 'acrylic acid/vp crosspolymer', 'triacontanyl pvp', 'glycerin', 'c12-15', 'linoleic acid', 'cholesterol', 'squalene', 'sodium pca', '1,2-hexanediol', 'urea', 'capric triglyceride', 'dipropylene glycol', 'tocopheryl acetate', 'acrylamide/sodium', 'tetrahexyldecyl ascorbate', 'sodium hyaluronate', 'ergothioneine', 'isohexadecane', 'ppg-15 stearyl ether', 'glycyrrhetinic acid', 'trehalose', 'polyquaternium-51', 'polysorbate 80', 'lecithin', 'hydrogenated lecithin', 'fumaric acid', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'caprylyl glycol', 'cyclodextrin', 'sodium hydroxide', 'nordihydroguaiaretic acid', 'sodium chloride', 'ascorbyl tocopheryl maleate', 'parfum', 'citric acid', 'ethylbisiminomethylguaiacol manganese chloride', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'disodium edta', 'bht', 'sodium dehydroacetate', 'phenoxyethanol', 'ci 42090', 'ci 19140', 'ci 77289']",['caffeine'],1,['Dark Circles'],Dark Circles
Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml,Moisturiser,25.0,"['glycerin', 'capric triglyceride', 'c12-20', 'simmondsia chinensis leaf extract', 'capric triglyceride', 'hydroxyethyl urea', 'cetyl alcohol', 'niacinamide', 'dimethicon', 'butylene glycol', 'sodium polyaspartate', 'ammonium acryloyldimethyltaurate/vp', 'citrus limon juice extract', 'citrus grandis', 'mentha viridis extract', 'citrus aurantium dulcis', 'limonene', 'linalool', 'citral', 'panax ginseng root extract', 'hordeum vulgare extract', 'salicylic acid', 'algae extract', 'linoleic acid', 'caffeinee', 'sucrose', 'cucumis sativus extract', 'trehalose', 'ophiopogon japonicus root extract', 'sorbitol', 'phospholipid', 'tocopheryl acetate', 'tocopherol', 'coffea arabica seed extract', 'arganine', 'sodium hyaluronate', 'butyrospermum parkii', 'helianthus annuus seed oil', 'squalene', 'ethylhexyl glycerin', 'caprylyl glycol', 'peg-100 stearate', 'glyceryl stearate', 'potassium cetyl phosphate', 'acrylates/c10-30 alkyl', 'behenyl alcohol', 'xanthan gum', 'carbomer', 'sodium hydroxide', 'disodium edta', 'chlorphenesin', 'potassium sorbate', 'phenoxyethanol']","['salicylic acid', 'niacinamide', 'caffeine']",3,"['Comedonal', 'Inflammatory', 'Pigmentation', 'Dark Circles']","Comedonal, Inflammatory, Pigmentation, Dark Circles"
Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),Moisturiser,28.0,"['petrolatum (568%)', 'lanolin', 'paraffinum liquidum', 'tocopherol', 'bht', 'salicylic acid', 'castor oil', 'olus oil', 'zea mays oil', 'parfum', 'citral', 'citronellol', 'geraniol', 'limonene', 'linalool', 'propylparaben', 'iron oxide']",['salicylic acid'],1,['Comedonal'],Comedonal
La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml,Moisturiser,16.5,"['capric triglyceride', 'glycerin', 'propanediol', 'pentylene glycol', 'niacinamide', 'ammonium polyacryloyldmethyl taurate', 'caprylyl glycol', 'citric acid', 'xanthan gum']",['niacinamide'],1,"['Inflammatory', 'Pigmentation']","Inflammatory, Pigmentation"
La Roche-Posay Effaclar MAT+ 40ml,Moisturiser,17.0,"['cyclopentasiloxane', 'glycerin', 'isocetyl stearate', 'alcohol denat', 'dimethicon', 'dimethicon/vinyl dimethicon crosspolymer', 'acrylamide/sodium', 'methyl methacrylate crosspolymer', 'silica', 'cyclohexasiloxane', 'peg-100 stearate', 'cocamide mea', 'zinc pca', 'glyceryl stearate', 'triethanolamine', 'isohexadecane', 'sodium citrate', 'ascorbyl glucoside', 'nylon 12', 'capryloyl salicylic acid', 'tetrasodium edta', 'polysorbate 80', 'acrylates/c10-30 alkyl', 'tocopherol', 'methylparaben', 'salicylic acid', 'parfum']","['salicylic acid', 'zinc pca']",2,"['Comedonal', 'Fungal']","Comedonal, Fungal"
Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml,Moisturiser,37.0,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",['caffeine'],1,['Dark Circles'],Dark Circles
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,Moisturiser,12.0,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",['caffeine'],1,['Dark Circles'],Dark Circles
Neutrogena Refreshingly Clear Oil-Free Moisturiser 50ml,Moisturiser,5.24,"['glycerin', 'propylene glycol', 'cetyl alcohol', 'c12-15', 'glyceryl stearate', 'peg-100 stearate', 'stearyl alcohol', 'c12-15', 'salicylic acid', 'aloe barbadenis extract', 'cetyl lactate', 'chamomilla recutita flower oil', 'cocamidopropyl pg-dimonium chloride phosphate', 'menthyl lactate', 'dimethicon', 'propylene glycol isostearate', 'sodium isostearoyl lactylate', 'acrylates/c10-30 alkyl', 'carbomer', 'sodium chloride', 'palmitic acid', 'stearic acid', 'disodium edta', 'sodium hydroxide', 'benzalkonium chloride', 'ethylparaben', 'methylparaben', 'propylparaben', 'phenoxyethanol', 'parfum', 'benzyl alcohol']",['salicylic acid'],1,['Comedonal'],Comedonal
